a,b,k,d,ad,overlap_days,a_name,b_name
sse/880494,sse/880774,109,0.36217459424335763,0.36217459424335763,1723,sse/880494 互联网,sse/880774 昨日首板
sse/880493,sse/880785,96,0.3614377223814352,0.3614377223814352,1659,sse/880493 软件服务,sse/880785 最近多板
sse/880867,sse/880892,106,0.36132040309443647,0.36132040309443647,2035,sse/880867 昨高换手,sse/880892 高质押股
sse/880889,sse/880640,114,0.36092872289002775,0.36092872289002775,898,sse/880889 不活跃股,sse/880640 历史新高
sse/880810,sse/880619,93,-0.36029761579063413,0.36029761579063413,595,sse/880810 陆股通增,sse/880619 业绩预增
sse/880493,sse/880783,115,0.35881741650027865,0.35881741650027865,1678,sse/880493 软件服务,sse/880783 社保新进
sse/880812,sse/880752,37,0.3574660304939231,0.3574660304939231,1171,sse/880812 昨日连板,sse/880752 昨曾跌停
sse/880452,sse/880774,115,0.35723297027369516,0.35723297027369516,1723,sse/880452 电信运营,sse/880774 昨日首板
sse/880812,sse/880676,95,0.3567867863349377,0.3567867863349377,731,sse/880812 昨日连板,sse/880676 活跃ETF
sse/880859,sse/880812,119,-0.35637922619410467,0.35637922619410467,1974,sse/880859 员工持股,sse/880812 昨日连板
sse/880360,sse/880783,117,0.35590080756116416,0.35590080756116416,1678,sse/880360 农林牧渔,sse/880783 社保新进
sse/880452,sse/880619,116,0.3556026877461717,0.3556026877461717,1044,sse/880452 电信运营,sse/880619 业绩预增
sse/880850,sse/880810,119,-0.3555149363249912,0.3555149363249912,1540,sse/880850 定增预案,sse/880810 陆股通增
sse/880848,sse/880735,93,0.35511603285248333,0.35511603285248333,1206,sse/880848 被举牌,sse/880735 专精特新
sse/880864,sse/880785,95,0.3542579812698392,0.3542579812698392,1659,sse/880864 昨日振荡,sse/880785 最近多板
sse/880867,sse/880889,106,0.3542499960198989,0.3542499960198989,2019,sse/880867 昨高换手,sse/880889 不活跃股
sse/880872,sse/880884,118,0.3534286866546322,0.3534286866546322,2175,sse/880872 近期复牌,sse/880884 最近异动
sse/880878,sse/880812,114,-0.3523325688217611,0.3523325688217611,1974,sse/880878 百元股,sse/880812 昨日连板
sse/880782,sse/880751,57,-0.3522944788611227,0.3522944788611227,1163,sse/880782 保险新进,sse/880751 昨日跌停
sse/880885,sse/880778,93,0.352177870814518,0.352177870814518,1486,sse/880885 近端次新,sse/880778 次新预增
sse/880532,sse/880812,119,-0.35179125281727863,0.35179125281727863,1974,sse/880532 整体上市,sse/880812 昨日连板
sse/880809,sse/880810,111,-0.35127783374410293,0.35127783374410293,1540,sse/880809 基金独门,sse/880810 陆股通增
sse/880785,sse/880641,108,-0.35089501805047624,0.35089501805047624,670,sse/880785 最近多板,sse/880641 历史新低
sse/880418,sse/880784,63,-0.35072412147111787,0.35072412147111787,1651,sse/880418 传媒娱乐,sse/880784 昨日较弱
sse/880893,sse/880784,104,-0.3499104746522487,0.3499104746522487,1651,sse/880893 送转超跌,sse/880784 昨日较弱
sse/880811,sse/880812,119,-0.349840514009371,0.349840514009371,1525,sse/880811 陆股通减,sse/880812 昨日连板
sse/880947,sse/880640,114,0.34943544119635583,0.34943544119635583,919,sse/880947 债转股AMC,sse/880640 历史新高
